Subject,Item,PrimeCategory,Response,PrimeType
20,39,Dative,0,Preferred
20,40,Transitive,1,Dispreferred
20,41,Locative,0,Preferred
20,42,Dative,0,Dispreferred
20,43,Transitive,0,Preferred
20,44,Locative,1,Dispreferred
20,45,Dative,0,Dispreferred
20,47,Locative,1,Preferred
20,48,Dative,0,Preferred
21,1,Transitive,1,Dispreferred
21,6,Dative,0,Dispreferred
21,7,Transitive,1,Preferred
21,13,Transitive,0,Preferred
21,14,Locative,1,Preferred
21,15,Dative,0,Preferred
21,16,Transitive,0,Dispreferred
21,19,Transitive,1,Preferred
21,20,Locative,1,Dispreferred
21,21,Dative,0,Dispreferred
21,22,Transitive,1,Dispreferred
21,23,Locative,1,Preferred
21,26,Locative,0,Dispreferred
21,28,Transitive,0,Dispreferred
21,31,Transitive,0,Preferred
21,33,Dative,0,Dispreferred
21,34,Transitive,0,Preferred
21,38,Locative,1,Preferred
21,40,Transitive,0,Preferred
21,41,Locative,1,Dispreferred
21,43,Transitive,0,Dispreferred
21,44,Locative,1,Preferred
21,47,Locative,1,Dispreferred
23,2,Locative,1,Preferred
23,3,Dative,1,Preferred
23,4,Transitive,0,Dispreferred
23,5,Locative,1,Preferred
23,6,Dative,1,Dispreferred
23,7,Transitive,1,Preferred
23,8,Locative,1,Dispreferred
23,9,Dative,1,Preferred
23,10,Transitive,0,Preferred
23,11,Locative,0,Dispreferred
23,12,Dative,1,Dispreferred
23,13,Transitive,1,Preferred
23,14,Locative,1,Preferred
23,15,Dative,1,Preferred
23,16,Transitive,0,Dispreferred
23,17,Locative,0,Dispreferred
23,18,Dative,1,Preferred
23,19,Transitive,1,Preferred
23,21,Dative,0,Dispreferred
23,22,Transitive,1,Dispreferred
23,24,Dative,0,Dispreferred
23,25,Transitive,0,Dispreferred
23,27,Dative,1,Preferred
23,28,Transitive,1,Dispreferred
23,29,Locative,1,Preferred
23,30,Dative,1,Dispreferred
23,31,Transitive,0,Preferred
23,32,Locative,1,Preferred
23,37,Transitive,1,Preferred
23,38,Locative,0,Preferred
23,39,Dative,0,Dispreferred
23,40,Transitive,1,Preferred
23,41,Locative,0,Dispreferred
23,42,Dative,0,Preferred
23,43,Transitive,0,Dispreferred
23,44,Locative,1,Preferred
23,45,Dative,1,Preferred
23,48,Dative,0,Dispreferred
24,1,Transitive,1,Preferred
24,3,Dative,0,Dispreferred
24,4,Transitive,0,Preferred
24,6,Dative,1,Preferred
24,7,Transitive,1,Dispreferred
24,8,Locative,1,Preferred
24,10,Transitive,0,Dispreferred
24,11,Locative,0,Dispreferred
24,12,Dative,1,Preferred
