Block,Homogeneity,PrimeType,Target,Response,VerbClass,Item,List,Subject
F,Homogenous,Preferred,The elephant is spraying water on the clown,1,Locative,7,4,8
E,Heterogeneous,Preferred,The bus is splashing mud onto the people,1,Locative,8,4,8
A,Heterogeneous,Preferred,the artist is splattering paint on his canvas,1,Locative,9,4,8
F,Heterogeneous,Dispreferred,Some guy is throwing a frisbee to his friend,0,Dative,10,4,8
A,Heterogeneous,Dispreferred,Santa Claus is stuffing stockings with fruit,0,Locative,11,4,8
E,Heterogeneous,Dispreferred,men are loading a truck with toxic waste,0,Locative,12,4,8
B,Heterogeneous,Dispreferred,An old woman is giving a cake to an old man,0,Dative,13,4,8
G,Homogenous,Preferred,A woman is tossing a patient a beachball,0,Dative,14,4,8
F,Heterogeneous,Preferred,A woman is showing a man a dress,1,Dative,15,4,8
D,Homogenous,Dispreferred,A woman is rubbing a baby with lotion,1,Locative,16,4,8
H,Heterogeneous,Preferred,A woman is reading some kids a book,0,Dative,17,4,8
C,Homogenous,Preferred,A priest is reading the class the bible,0,Dative,18,4,8
E,Homogenous,Preferred,A nurse is showing a boy his x-ray,1,Dative,19,4,8
D,Heterogeneous,Preferred,A nurse is handing a girl crutches,0,Dative,20,4,8
B,Homogenous,Dispreferred,A man is packing a cooler with beers,1,Locative,21,4,8
A,Homogenous,Preferred,A man is giving a little girl a gift,1,Dative,22,4,8
G,Heterogeneous,Dispreferred,A man is drizzling his nachos with cheese,1,Locative,23,4,8
E,Homogenous,Dispreferred,A guy is showing his ID to a bouncer,0,Dative,24,4,8
H,Homogenous,Dispreferred,A girl is sprinkling her soup with salt,0,Locative,25,4,8
C,Homogenous,Dispreferred,A girl is reading a book to a little boy,0,Dative,26,4,8
A,Homogenous,Dispreferred,A girl is handing a paintbrush to a man,1,Dative,27,4,8
B,Heterogeneous,Preferred,A father is reading his little girl a book,0,Dative,28,4,8
B,Homogenous,Preferred,A clown is cramming his shoes into a  box,0,Locative,29,4,8
D,Homogenous,Preferred,A chef is brushing butter on a turkey,1,Locative,30,4,8
H,Heterogeneous,Dispreferred,A boy is throwing a baseball to a man,0,Dative,31,4,8
H,Homogenous,Preferred,A baker is dusting powdered sugar on a cake,1,Locative,32,4,8
E,Heterogeneous,Preferred,the woman is spritzing water on her plants,0,Locative,1,1,9
H,Heterogeneous,Dispreferred,The quarterback is throwing the football to his receiver,0,Dative,2,1,9
D,Homogenous,Preferred,The mother is dabbing alcohol to her daughter's cut,1,Locative,3,1,9
H,Homogenous,Preferred,The man is scattering rose petals on the bed,1,Locative,4,1,9
E,Homogenous,Dispreferred,The lawyer is showing the gun to the judge,1,Dative,5,1,9
A,Heterogeneous,Preferred,The elephant is spraying water on the clown,1,Locative,7,1,9
F,Homogenous,Dispreferred,The bus is splashing the people with mud,1,Locative,8,1,9
F,Homogenous,Preferred,the artist is splattering paint on his canvas,1,Locative,9,1,9
B,Homogenous,Preferred,Santa Claus is stuffing fruit into stocking,1,Locative,11,1,9
B,Homogenous,Dispreferred,men are loading a truck with toxic waste,0,Locative,12,1,9
