Subject,List,CardSet,VerbCat,Response,VerbClass,Item,Homogeneity,PrimeType
20,4,2,put,1,Locative,28,Heterogeneous,Preferred
20,4,2,throw,1,Dative,24,Homogeneous,Dispreferred
20,4,2,rub,1,Locative,35,Heterogeneous,Dispreferred
20,4,2,throw,1,Dative,19,Homogeneous,Dispreferred
20,4,2,throw,1,Dative,20,Homogeneous,Preferred
20,4,2,sprinkle,1,Locative,46,Heterogeneous,Dispreferred
20,4,2,throw,1,Dative,21,Homogeneous,Preferred
20,4,2,sprinkle,0,Locative,43,Homogeneous,Preferred
20,4,2,give,1,Dative,4,Heterogeneous,Dispreferred
20,4,2,read,1,Dative,11,Heterogeneous,Preferred
20,4,2,sprinkle,1,Locative,47,Homogeneous,Dispreferred
20,4,2,throw,1,Dative,22,Heterogeneous,Dispreferred
21,5,3,give,1,Dative,3,Homogeneous,Preferred
21,5,3,give,1,Dative,4,Homogeneous,Preferred
21,5,3,give,1,Dative,5,Homogeneous,Dispreferred
21,5,3,spray,1,Locative,42,Heterogeneous,Preferred
21,5,3,give,1,Dative,6,Homogeneous,Dispreferred
21,5,3,give,1,Dative,1,Heterogeneous,Dispreferred
21,5,3,read,1,Dative,9,Heterogeneous,Dispreferred
21,5,3,put,1,Locative,28,Homogeneous,Dispreferred
21,5,3,show,1,Dative,13,Heterogeneous,Preferred
21,5,3,throw,1,Dative,20,Heterogeneous,Preferred
21,5,3,put,1,Locative,30,Homogeneous,Preferred
21,5,3,show,1,Dative,16,Homogeneous,Dispreferred
21,5,3,show,1,Dative,15,Homogeneous,Dispreferred
21,5,3,spray,1,Locative,40,Heterogeneous,Dispreferred
21,5,3,show,1,Dative,18,Homogeneous,Preferred
21,5,3,spray,0,Locative,41,Homogeneous,Dispreferred
21,5,3,spray,1,Locative,37,Homogeneous,Dispreferred
21,5,3,give,1,Dative,2,Heterogeneous,Dispreferred
21,5,3,spray,0,Locative,39,Homogeneous,Preferred
21,5,3,throw,1,Dative,21,Heterogeneous,Preferred
21,5,3,spray,1,Locative,38,Homogeneous,Preferred
21,5,3,show,1,Dative,14,Heterogeneous,Preferred
22,6,3,give,0,Dative,3,Homogeneous,Dispreferred
22,6,3,put,1,Locative,25,Heterogeneous,Dispreferred
22,6,3,give,0,Dative,4,Homogeneous,Dispreferred
22,6,3,rub,1,Locative,33,Heterogeneous,Preferred
22,6,3,give,0,Dative,5,Homogeneous,Preferred
22,6,3,spray,0,Locative,42,Heterogeneous,Dispreferred
22,6,3,give,0,Dative,6,Homogeneous,Preferred
22,6,3,sprinkle,1,Locative,45,Heterogeneous,Preferred
22,6,3,give,0,Dative,1,Heterogeneous,Preferred
22,6,3,read,0,Dative,9,Heterogeneous,Preferred
22,6,3,put,0,Locative,28,Homogeneous,Preferred
22,6,3,show,0,Dative,13,Heterogeneous,Dispreferred
22,6,3,throw,1,Dative,20,Heterogeneous,Dispreferred
22,6,3,put,1,Locative,30,Homogeneous,Dispreferred
22,6,3,rub,1,Locative,34,Heterogeneous,Dispreferred
22,6,3,show,0,Dative,16,Homogeneous,Preferred
22,6,3,show,0,Dative,15,Homogeneous,Preferred
22,6,3,sprinkle,1,Locative,47,Heterogeneous,Preferred
22,6,3,spray,1,Locative,40,Heterogeneous,Preferred
22,6,3,show,0,Dative,18,Homogeneous,Dispreferred
22,6,3,spray,0,Locative,41,Homogeneous,Preferred
22,6,3,read,1,Dative,10,Heterogeneous,Preferred
22,6,3,spray,1,Locative,37,Homogeneous,Preferred
22,6,3,give,0,Dative,2,Heterogeneous,Preferred
22,6,3,spray,1,Locative,39,Homogeneous,Dispreferred
22,6,3,throw,1,Dative,21,Heterogeneous,Dispreferred
22,6,3,spray,1,Locative,38,Homogeneous,Dispreferred
22,6,3,show,0,Dative,14,Heterogeneous,Dispreferred
23,7,4,read,0,Dative,9,Homogeneous,Dispreferred
23,7,4,rub,1,Locative,32,Heterogeneous,Preferred
23,7,4,read,1,Dative,10,Homogeneous,Dispreferred
23,7,4,read,0,Dative,11,Homogeneous,Preferred
23,7,4,read,0,Dative,12,Homogeneous,Preferred
23,7,4,read,0,Dative,8,Heterogeneous,Preferred
23,7,4,give,0,Dative,3,Heterogeneous,Preferred
23,7,4,throw,1,Dative,19,Heterogeneous,Dispreferred
23,7,4,rub,1,Locative,35,Homogeneous,Preferred
