,soa,Noun,VerbType,Pic,Distractor,Verb,Relatedness,DistractorType,Subj,Order,Block,Ncategory,expName,session,participant,Transcription,transcription,R0,R1,R2,R3,R4,R5,R6,utterance,Vagr,Vcodability,unaccusativity,obj,Item,OnsetThe,Onset,The,dog,above,the,apple,is,AppleIs
46,simultaneous,carrot,Unacc,monkeyUnacc.jpeg,melt,trip,Unrelated,Verb,monkey,46,2,fruit,List1,1,1,{SL} The monkey above the carrot is tripping,,961.5,99.7,568.7,289.4,109.7,588.7,209.5,NA,0.36,3.082,0.59,default,monkeyUnacc.jpeg.default,1061.2,961.5,99.7,568.7,289.4,109.7,588.7,209.5,798.2
47,negative,lighthouse,Unerg,boyUnerg.jpeg,bark,yawn,Unrelated,Verb,boy,47,2,building,List1,1,1,{SL} The boy below the lighthouse is yawning,,1031.3,189.6,399.1,319.2,69.9,578.7,129.7,NA,0.82,0.771,0.18,default,boyUnerg.jpeg.default,1220.9,1031.3,189.6,399.1,319.2,69.9,578.7,129.7,708.4
48,negative,hammer,Unacc,dogUnacc.jpeg,sink,spin,Unrelated,Verb,dog,48,2,tool,List1,1,1,{SL} The dog above the hammer is spinning,,1181,99.7,309.3,359.2,169.6,718.4,279.4,NA,0.12,3.022,0.9,default,dogUnacc.jpeg.default,1280.7,1181,99.7,309.3,359.2,169.6,718.4,279.4,997.8
49,simultaneous,lighthouse,Unerg,boyUnerg.jpeg,sleep,yawn,Related,Verb,boy,49,3,building,List1,1,1,{SL} The boy below the lighthouse is yawning,,1051.2,309.3,239.5,249.4,239.5,718.4,269.3,NA,0.82,0.771,0.18,default,boyUnerg.jpeg.default,1360.5,1051.2,309.3,239.5,249.4,239.5,718.4,269.3,987.7
50,negative,gun,Unerg,pirateUnerg.jpeg,walk,cough,Unrelated,Verb,pirate,50,3,weapon,List1,1,1,{SL} The pirate below the gun is coughing,,1101.1,279.4,468.9,289.4,139.7,429,688.4,NA,0.7,0.987,0,default,pirateUnerg.jpeg.default,1380.5,1101.1,279.4,468.9,289.4,139.7,429,688.4,1117.4
51,negative,apple,Unerg,dogUnerg.jpeg,yawn,bark,Unrelated,Verb,dog,51,3,fruit,List1,1,1,{SL} The dog above the apple is barking,,981.4,109.8,439,239.4,598.7,778.2,538.8,NA,0.7,0.987,0,default,dogUnerg.jpeg.default,1091.2,981.4,109.8,439,239.4,598.7,778.2,538.8,1317
52,simultaneous,guitar,Unacc,pirateUnacc.jpeg,fall,sink,Related,Verb,pirate,52,3,instrument,List1,1,1,{SL} The pirate below the guitar is sinking,,1161,139.7,638.5,399.1,79.8,598.7,209.5,NA,0.72,1.649,0.92,default,pirateUnacc.jpeg.default,1300.7,1161,139.7,638.5,399.1,79.8,598.7,209.5,808.2
53,negative,ax,Unacc,ballerinaUnacc.jpeg,grow,shrink,Related,Verb,ballerina,53,3,weapon,List1,1,1,{SL} The ballerina above the ax is shrinking,hummer,NA,NA,NA,NA,NA,NA,NA,NA,0.76,1.56,0.92,default,ballerinaUnacc.jpeg.default,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,simultaneous,lemon,Unerg,octopusUnerg.jpeg,run,swim,Related,Verb,octopus,54,3,fruit,List1,1,1,{SL} The octopus below the lemon is swimming,,2178.7,478.9,658.5,249.4,129.7,568.7,379.2,NA,0.74,1.574,0.11,default,octopusUnerg.jpeg.default,2657.6,2178.7,478.9,658.5,249.4,129.7,568.7,379.2,947.9
55,negative,tomato,Unerg,penguineUnerg.jpeg,cough,sneeze,Related,Verb,penguine,55,3,fruit,List1,1,1,{SL} The penguin below the tomato is sneezing,,921.5,109.8,588.7,229.4,159.7,738.3,269.4,NA,0.78,1.088,NA,default,penguineUnerg.jpeg.default,1031.3,921.5,109.8,588.7,229.4,159.7,738.3,269.4,1007.7
56,simultaneous,dresser,Unacc,chefUnacc.jpeg,bounce,drown,Unrelated,Verb,chef,56,3,funiture,List1,1,1,{SL} The chef above the dresser is drowning,,771.9,728.3,618.6,718.4,369.1,618.6,349.2,NA,0.68,1.912,1,default,chefUnacc.jpeg.default,1500.2,771.9,728.3,618.6,718.4,369.1,618.6,349.2,967.8
57,simultaneous,castle,Unacc,snailUnacc.jpeg,boil,melt,Related,Verb,snail,57,3,building,List1,1,1,{SL} The snail below the castle is melting,,1500.2,279.4,558.7,299.3,129.7,488.9,149.7,NA,0.16,3.886,0.58,default,snailUnacc.jpeg.default,1779.6,1500.2,279.4,558.7,299.3,129.7,488.9,149.7,638.6
58,simultaneous,knife,Unerg,monkeyUnerg.jpeg,yell,sleep,Unrelated,Verb,monkey,58,3,tool,List1,1,1,{SL} The monkey above the knife is sleeping,,1330.6,119.7,449,409.1,99.8,419,429,NA,0.9,0.606,0,default,monkeyUnerg.jpeg.default,1450.3,1330.6,119.7,449,409.1,99.8,419,429,848
59,simultaneous,cannon,Unerg,clownUnerg.jpeg,crawl,walk,Related,Verb,clown,59,3,weapon,List1,1,1,{SL} The clown below the canon is walking,,1051.2,169.7,508.8,199.6,359.1,668.5,199.6,NA,0.58,0.961,0.24,default,clownUnerg.jpeg.default,1220.9,1051.2,169.7,508.8,199.6,359.1,668.5,199.6,868.1
60,negative,windmill,Unerg,chefUnerg.jpeg,bark,yell,Related,Verb,chef,60,3,building,List1,1,1,{SL} The chef above the windmill is yelling,,1310.7,89.8,498.8,469,129.7,688.4,449,NA,0.78,0.961,0.06,default,chefUnerg.jpeg.default,1400.5,1310.7,89.8,498.8,469,129.7,688.4,449,1137.4
61,simultaneous,harp,Unerg,ballerinaUnerg.jpeg,sneeze,run,Unrelated,Verb,ballerina,61,3,instrument,List1,1,1,{SL} The ballerina above the harp is running,,1310.7,159.6,538.8,289.3,99.8,748.3,309.3,NA,0.84,1.034,0.04,default,ballerinaUnerg.jpeg.default,1470.3,1310.7,159.6,538.8,289.3,99.8,748.3,309.3,1057.6
62,negative,desk,Unacc,boyUnacc.jpeg,shrink,float,Unrelated,Verb,boy,62,3,funiture,List1,1,1,{SL} The boy below the desk is floating,,1230.8,139.7,708.4,169.6,409.1,578.7,209.5,NA,0.7,1.718,0.92,default,boyUnacc.jpeg.default,1370.5,1230.8,139.7,708.4,169.6,409.1,578.7,209.5,788.2
63,simultaneous,drill,Unacc,penguineUnacc.jpeg,drown,bounce,Unrelated,Verb,penguine,63,3,tool,List1,1,1,{SL} The penguin below the drill is bouncing,,1460.3,917.9,429.1,289.3,139.7,419,159.7,NA,0.54,1.736,NA,default,penguineUnacc.jpeg.default,2378.2,1460.3,917.9,429.1,289.3,139.7,419,159.7,578.7
64,negative,table,Unerg,snailUnerg.jpeg,wink,crawl,Unrelated,Verb,snail,64,3,funiture,List1,1,1,{SL} The snail below the table is crawling,desk,NA,NA,NA,NA,NA,NA,NA,NA,0.14,3.728,0.74,default,snailUnerg.jpeg.default,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,simultaneous,hammer,Unacc,dogUnacc.jpeg,trip,spin,Related,Verb,dog,65,3,tool,List1,1,1,{SL} The dog above the hammer is spinning,,1041.3,99.7,329.3,259.4,89.8,449,119.7,NA,0.12,3.022,0.9,default,dogUnacc.jpeg.default,1141,1041.3,99.7,329.3,259.4,89.8,449,119.7,568.7
66,negative,violin,Unacc,clownUnacc.jpeg,shake,grow,Unrelated,Verb,clown,66,3,instrument,List1,1,1,{SL} The clown below the violin is growing,,1061.2,179.6,1037.7,528.8,69.8,488.9,129.7,NA,0.7,1.918,1,default,clownUnacc.jpeg.default,1240.8,1061.2,179.6,1037.7,528.8,69.8,488.9,129.7,618.6
67,negative,church,Unacc,rabbitUnacc.jpeg,bounce,shake,Related,Verb,rabbit,67,3,building,List1,1,1,{SL} The rabbit above the church is shaking,,702,688.5,528.8,309.3,99.7,568.8,439,NA,0.54,2.711,0.8,default,rabbitUnacc.jpeg.default,1390.5,702,688.5,528.8,309.3,99.7,568.8,439,1007.8
68,negative,piano,Unerg,cowboyUnerg.jpeg,smile,wink,Related,Verb,cowboy,68,3,instrument,List1,1,1,{SL} The cowboy above the piano is winking,,1240.8,79.8,269.4,469,119.7,449,149.6,NA,0.64,1.628,0.24,default,cowboyUnerg.jpeg.default,1320.6,1240.8,79.8,269.4,469,119.7,449,149.6,598.6
