"","Relatedness","VerbType","Pic","Picture","PictureVersion","Distractor","DistractorType","Verb","Anoun","Snoun","Order","expName","participant","Transcription","Utterance","Vcodability","Vagr","Vfreq","Aagreement","Acodability","Afreq","Sfreq","Scodability","Onset","The","dog","above","the","apple","is","soa","syllable","visual_complexity","unaccusativity","OnsetThe","experiment"
"3830","Related","Unerg","monkeyUnerg.jpeg","monkeyUnerg.jpeg.knife","B","yawn","Verb","sleep","knife","monkey",86,"List3",43,"{SL} The monkey above the knife is sleeping","yawning",0.606,0.9,25606,1,0.057,3.807,4882,0.357,NA,NA,NA,NA,NA,NA,NA,"n150","long",8773,0,NA,"Exp1"
"3831","Unrelated","Unacc","rabbitUnacc.jpeg","rabbitUnacc.jpeg.church","","grow","Verb","shake","church","rabbit",87,"List3",43,"{SL} The rabbit above the church is shaking","",2.711,0.54,5292,0.96,0.282,5.215,5751,1.086,1489.6,129.7,518.8,309.3,409.1,658.5,967.8,"n150","short",34595,0.8,1619.3,"Exp1"
"3832","Related","Unerg","dogUnerg.jpeg","dogUnerg.jpeg.apple","A","lemon","Noun","bark","apple","dog",88,"List3",43,"{SL} The dog above the apple is barking","",0.987,0.7,2441,1,0.029,3.434,58314,0.629,900.9,89.8,349.2,339.2,229.5,399.1,518.8,"n150","long",8241,0,990.7,"Exp1"
"3833","Unrelated","Unerg","cowboyUnerg.jpeg","cowboyUnerg.jpeg.piano","A","crawl","Verb","wink","piano","cowboy",89,"List3",43,"{SL} The cowboy above the piano is winking","",1.643,0.64,1494,1,0.029,3.332,2826,0.35,791.2,69.8,608.6,249.4,79.9,1257.1,349.2,"n150","long",19570,0.24,861,"Exp1"
"3834","Unrelated","Unerg","penguineUnerg.jpeg","penguineUnerg.jpeg.tomato","","run","Verb","sneeze","tomato","penguin",90,"List3",43,"{SL} The penguin below the tomato is sneezing","",1.088,0.78,540,0.98,0.141,2.708,2222,0.689,1260.1,59.9,788.2,289.3,79.8,908,149.6,"n150","long",8388,0.04,1320,"Exp1"
"3835","Related","Unerg","pirateUnerg.jpeg","pirateUnerg.jpeg.gun","","cannon","Noun","cough","gun","pirate",91,"List3",43,"{SL} The pirate below the gun is coughing","cowboy",0.987,0.7,2215,0.9,0.687,4.605,6292,0.69,NA,NA,NA,NA,NA,NA,NA,"n150","short",10904,0,NA,"Exp1"
"3836","Related","Unerg","snailUnerg.jpeg","snailUnerg.jpeg.table","","dresser","Noun","crawl","table","snail",92,"List3",43,"{SL} The snail below the table is crawling","",3.728,0.14,3131,0.98,0.141,5.464,10191,0,1419.7,79.8,469,548.7,758.3,618.6,369.2,"n150","long",12010,0.74,1499.5,"Exp1"
"3837","Unrelated","Unerg","clownUnerg.jpeg","clownUnerg.jpeg.canon","A","lemon","Noun","walk","canon","clown",93,"List3",43,"{SL} The clown below the canon is walking","",2.218,0.58,33093,1,0.111,1.946,2761,1.896,930.8,89.8,379.2,449,99.7,598.7,439,"n150","long",17678,0.24,1020.6,"Exp1"
"3838","Unrelated","Unacc","monkeyUnacc.jpeg","monkeyUnacc.jpeg.carrot","A","melt","Verb","trip","carrot","monkey",94,"List3",43,"{SL} The monkey above the carrot is tripping","",3.082,0.36,28399,1,0,2.197,4882,0.815,1040.6,79.8,768.3,468.9,508.8,768.3,1257.1,"n150","long",13201,0.59,1120.4,"Exp1"
"3839","Unrelated","Unerg","boyUnerg.jpeg","boyUnerg.jpeg.lighthouse","B","apple","Noun","yawn","lighthouse","boy",95,"List3",43,"{SL} The boy below the lighthouse is yawning","",0.771,0.82,1333,0.94,0.409,1.386,42823,1.896,2108.2,59.8,369.2,339.2,79.8,1337,329.2,"n150","long",31692,0.18,2168,"Exp1"
"3840","Unrelated","Unacc","dogUnacc.jpeg","dogUnacc.jpeg.hammer","B","dresser","Noun","spin","hammer","dog",96,"List3",43,"{SL} The dog above the hammer is spinning","",3.022,0.12,10683,1,0.057,2.485,58314,0.995,980.7,528.8,449,598.6,159.7,758.3,149.6,"n150","long",9533,0.9,1509.5,"Exp1"
"3841","Unrelated","Unerg","cowboyUnerg.jpeg","cowboyUnerg.jpeg.piano","A","carrot","Noun","wink","piano","cowboy",1,"List4",44,"{SL} The cowboy above the piano is winking","above_ above",1.643,0.64,1494,1,0.029,3.332,2826,0.35,NA,NA,NA,NA,NA,NA,NA,"n150","long",19570,0.24,NA,"Exp1"
"3842","Unrelated","Unerg","penguineUnerg.jpeg","penguineUnerg.jpeg.tomato","","table","Noun","sneeze","tomato","penguin",2,"List4",44,"{SL} The penguin below the tomato is sneezing","",1.088,0.78,540,0.98,0.141,2.708,2222,0.689,721.3,109.8,478.9,269.4,59.8,488.9,259.4,"n150","long",8388,0.04,831.1,"Exp1"
"3843","Related","Unacc","boyUnacc.jpeg","boyUnacc.jpeg.desk","A","drown","Verb","float","desk","boy",3,"List4",44,"{SL} The boy below the desk is floating","",1.718,0.7,5704,1,0,4.522,42823,1.733,1060.5,89.8,409.1,478.9,139.7,638.6,439,"n150","short",17761,0.92,1150.3,"Exp1"
"3844","Related","Unerg","dogUnerg.jpeg","dogUnerg.jpeg.apple","A","yell","Verb","bark","apple","dog",4,"List4",44,"{SL} The dog above the apple is barking","",0.987,0.7,2441,1,0.029,3.434,58314,0.629,691.4,109.7,259.4,329.3,239.5,409,758.3,"n150","long",8241,0,801.1,"Exp1"
"3845","Related","Unacc","chefUnacc.jpeg","chefUnacc.jpeg.drawer","A","table","Noun","drown","drawer","chef",5,"List4",44,"{SL} The chef above the drawer is drowning","desk",1.912,0.68,1415,0.48,2.095,1.792,1418,0.774,NA,NA,NA,NA,NA,NA,NA,"n150","long",21173,1,NA,"Exp1"
"3846","Unrelated","Unacc","snailUnacc.jpeg","snailUnacc.jpeg.castle","","trip","Verb","melt","castle","snail",6,"List4",44,"{SL} The snail below the castle is melting","",3.886,0.16,2781,1,0,3.332,10191,0,791.2,109.7,369.2,319.2,79.9,578.6,319.3,"n150","long",22746,0.58,900.9,"Exp1"
"3847","Unrelated","Unacc","ballerinaUnacc.jpeg","ballerinaUnacc.jpeg.ax","A","spoon","Noun","shrink","ax","ballerina",7,"List4",44,"{SL} The ballerina above the ax is shrinking","",1.56,0.76,4085,0.86,0.668,2.303,140,1.937,881,99.7,688.5,508.8,179.6,538.8,508.8,"n150","short",7849,0.92,980.7,"Exp1"
"3848","Related","Unacc","octopusUnacc.jpeg","octopusUnacc.jpeg.spoon","","melt","Verb","boil","spoon","octopus",8,"List4",44,"{SL} The octopus below the spoon is boiling","the_ ah ",2.319,0.5,3837,1,0.029,2.773,900,0.656,NA,NA,NA,NA,NA,NA,NA,"n150","short",7344,0.96,NA,"Exp1"
"3849","Unrelated","Unacc","dogUnacc.jpeg","dogUnacc.jpeg.hammer","B","sink","Verb","spin","hammer","dog",9,"List4",44,"{SL} The dog above the hammer is spinning","",3.022,0.12,10683,1,0.057,2.485,58314,0.995,781.2,129.7,518.8,439,189.6,578.7,828.1,"n150","long",9533,0.9,910.9,"Exp1"
"3850","Unrelated","Unerg","chefUnerg.jpeg","chefUnerg.jpeg.windmill","B","chair","Noun","yell","windmill","chef",10,"List4",44,"{SL} The chef above the windmill is yelling","",0.961,0.78,3322,0.93,0.55,2.303,1418,1.194,900.9,169.6,449,478.9,239.5,738.3,508.8,"n150","long",12430,0.06,1070.5,"Exp1"
"3851","Related","Unacc","cowboyUnacc.jpeg","cowboyUnacc.jpeg.sword","B","ax","Noun","fall","sword","cowboy",11,"List4",44,"{SL} The cowboy above the sword is falling","the_ ah",1.114,0.84,46059,0.92,0.522,2.89,2826,0.885,NA,NA,NA,NA,NA,NA,NA,"n150","short",10243,0.98,NA,"Exp1"
"3852","Unrelated","Unacc","pirateUnacc.jpeg","pirateUnacc.jpeg.guitar","","spin","Verb","sink","guitar","pirate",12,"List4",44,"{SL} The pirate below the guitar is sinking","",1.594,0.72,8579,0.98,0.141,2.079,6292,0.592,1339.9,59.9,618.6,359.2,169.6,558.7,628.6,"n150","long",12032,0.92,1399.8,"Exp1"
"3853","Related","Unacc","clownUnacc.jpeg","clownUnacc.jpeg.violin","B","shrink","Verb","grow","violin","clown",13,"List4",44,"{SL} The clown below the violin is growing","guitar",1.786,0.7,24803,0.82,0.858,1.946,2761,0.179,NA,NA,NA,NA,NA,NA,NA,"n150","long",8571,1,NA,"Exp1"
"3854","Unrelated","Unacc","monkeyUnacc.jpeg","monkeyUnacc.jpeg.carrot","A","piano","Noun","trip","carrot","monkey",14,"List4",44,"{SL} The monkey above the carrot is tripping","",3.082,0.36,28399,1,0,2.197,4882,0.815,980.7,149.7,798.2,369.1,399.1,558.8,468.9,"n150","long",13201,0.59,1130.4,"Exp1"
"3855","Related","Unerg","rabitUnerg.jpeg","rabitUnerg.jpeg.chair","","desk","Noun","smile","chair","rabbit",15,"List4",44,"{SL} The rabbit above the chair is smiling","",2.748,0.46,12276,1,0,4.92,5751,1.061,781.2,179.6,508.8,299.3,429.1,558.7,229.5,"n150","short",11238,0.11,960.8,"Exp1"
"3856","Unrelated","Unerg","clownUnerg.jpeg","clownUnerg.jpeg.canon","A","cough","Verb","walk","canon","clown",16,"List4",44,"{SL} The clown below the canon is walking","",2.218,0.58,33093,1,0.111,1.946,2761,1.896,861,109.7,399.1,309.3,79.9,628.5,618.6,"n150","long",17678,0.24,970.7,"Exp1"
"3857","Unrelated","Unerg","octopusUnerg.jpeg","octopusUnerg.jpeg.lemon","","smile","Verb","swim","lemon","octopus",17,"List4",44,"{SL} The octopus below the lemon is swimming","",1.574,0.74,5116,0.96,0.31,2.773,900,0.48,811.1,139.7,678.5,219.5,409,488.9,738.3,"n150","long",8524,0.11,950.8,"Exp1"
"3858","Unrelated","Unerg","boyUnerg.jpeg","boyUnerg.jpeg.lighthouse","B","bark","Verb","yawn","lighthouse","boy",18,"List4",44,"{SL} The boy below the lighthouse is yawning","",0.771,0.82,1333,0.94,0.409,1.386,42823,1.896,940.8,99.8,409.1,498.8,698.4,389.2,179.5,"n150","long",31692,0.18,1040.6,"Exp1"
"3859","Unrelated","Unacc","rabbitUnacc.jpeg","rabbitUnacc.jpeg.church","","harp","Noun","shake","church","rabbit",19,"List4",44,"{SL} The rabbit above the church is shaking","",2.711,0.54,5292,0.96,0.282,5.215,5751,1.086,791.2,79.8,449,369.1,239.5,518.8,778.2,"n150","short",34595,0.8,871,"Exp1"
"3860","Related","Unerg","pirateUnerg.jpeg","pirateUnerg.jpeg.gun","","sneeze","Verb","cough","gun","pirate",20,"List4",44,"{SL} The pirate below the gun is coughing","",0.987,0.7,2215,0.9,0.687,4.605,6292,0.69,1150.3,399.1,548.8,339.2,109.8,419,299.3,"n150","short",10904,0,1549.4,"Exp1"
"3861","Related","Unacc","penguineUnacc.jpeg","penguineUnacc.jpeg.drill","","hammer","Noun","bounce","drill","penguin",21,"List4",44,"{SL} The penguin below the drill is bouncing","",1.645,0.54,4243,0.63,1.704,2.197,2222,0.303,781.2,149.6,588.7,409.1,259.4,468.9,738.3,"n150","short",16254,0.56,930.8,"Exp1"
"3862","Related","Unerg","snailUnerg.jpeg","snailUnerg.jpeg.table","","walk","Verb","crawl","table","snail",22,"List4",44,"{SL} The snail below the table is crawling","",3.728,0.14,3131,0.98,0.141,5.464,10191,0,741.3,99.7,339.3,458.9,229.5,728.4,528.8,"n150","long",12010,0.74,841,"Exp1"
"3863","Related","Unerg","monkeyUnerg.jpeg","monkeyUnerg.jpeg.knife","B","spoon","Noun","sleep","knife","monkey",23,"List4",44,"{SL} The monkey above the knife is sleeping","the_ ah_ knife",0.606,0.9,25606,1,0.057,3.807,4882,0.357,NA,NA,NA,NA,NA,NA,NA,"n150","long",8773,0,NA,"Exp1"
"3864","Related","Unerg","ballerinaUnerg.jpeg","ballerinaUnerg.jpeg.harp","B","violin","Noun","run","harp","ballerina",24,"List4",44,"{SL} The ballerina above the harp is running","sha_ ah the harp",1.034,0.84,223338,0.96,0.388,1.386,140,1.707,NA,NA,NA,NA,NA,NA,NA,"n150","short",14170,0.04,NA,"Exp1"
"3865","Unrelated","Unacc","boyUnacc.jpeg","boyUnacc.jpeg.desk","A","shrink","Verb","float","desk","boy",25,"List4",44,"{SL} The boy below the desk is floating","ta_ desk",1.718,0.7,5704,1,0,4.522,42823,1.733,NA,NA,NA,NA,NA,NA,NA,"n150","short",17761,0.92,NA,"Exp1"
"3866","Related","Unacc","rabbitUnacc.jpeg","rabbitUnacc.jpeg.church","","bounce","Verb","shake","church","rabbit",26,"List4",44,"{SL} The rabbit above the church is shaking","",2.711,0.54,5292,0.96,0.282,5.215,5751,1.086,751.2,119.8,419,359.2,219.5,558.7,878,"n150","short",34595,0.8,871,"Exp1"
"3867","Related","Unerg","clownUnerg.jpeg","clownUnerg.jpeg.canon","A","gun","Noun","walk","canon","clown",27,"List4",44,"{SL} The clown below the canon is walking","",2.218,0.58,33093,1,0.111,1.946,2761,1.896,930.8,119.8,439,309.3,109.7,528.8,259.4,"n150","long",17678,0.24,1050.6,"Exp1"
"3868","Unrelated","Unacc","penguineUnacc.jpeg","penguineUnacc.jpeg.drill","","sword","Noun","bounce","drill","penguin",28,"List4",44,"{SL} The penguin below the drill is bouncing","",1.645,0.54,4243,0.63,1.704,2.197,2222,0.303,751.2,179.6,289.4,628.6,419,359.2,229.5,"n150","short",16254,0.56,930.8,"Exp1"
"3869","Related","Unacc","ballerinaUnacc.jpeg","ballerinaUnacc.jpeg.ax","A","grow","Verb","shrink","ax","ballerina",29,"List4",44,"{SL} The ballerina above the ax is shrinking","below the_ above the",1.56,0.76,4085,0.86,0.668,2.303,140,1.937,NA,NA,NA,NA,NA,NA,NA,"n150","short",7849,0.92,NA,"Exp1"
"3870","Related","Unerg","chefUnerg.jpeg","chefUnerg.jpeg.windmill","B","bark","Verb","yell","windmill","chef",30,"List4",44,"{SL} The chef above the windmill is yelling","",0.961,0.78,3322,0.93,0.55,2.303,1418,1.194,1050.6,109.7,329.3,389.1,588.6,558.8,319.3,"n150","long",12430,0.06,1160.3,"Exp1"
"3871","Related","Unacc","dogUnacc.jpeg","dogUnacc.jpeg.hammer","B","drill","Noun","spin","hammer","dog",31,"List4",44,"{SL} The dog above the hammer is spinning","ah.. The",3.022,0.12,10683,1,0.057,2.485,58314,0.995,NA,NA,NA,NA,NA,NA,NA,"n150","long",9533,0.9,NA,"Exp1"
"3872","Unrelated","Unerg","rabitUnerg.jpeg","rabitUnerg.jpeg.chair","","windmill","Noun","smile","chair","rabbit",32,"List4",44,"{SL} The rabbit above the chair is smiling","",2.748,0.46,12276,1,0,4.92,5751,1.061,691.4,109.7,469,329.2,199.6,558.7,907.9,"n150","short",11238,0.11,801.1,"Exp1"
"3873","Unrelated","Unerg","dogUnerg.jpeg","dogUnerg.jpeg.apple","A","yawn","Verb","bark","apple","dog",33,"List4",44,"{SL} The dog above the apple is barking","",0.987,0.7,2441,1,0.029,3.434,58314,0.629,701.4,119.7,269.4,329.2,159.7,488.9,907.9,"n150","long",8241,0,821.1,"Exp1"
"3874","Related","Unerg","penguineUnerg.jpeg","penguineUnerg.jpeg.tomato","","cough","Verb","sneeze","tomato","penguin",34,"List4",44,"{SL} The penguin below the tomato is sneezing","",1.088,0.78,540,0.98,0.141,2.708,2222,0.689,801.1,99.8,508.9,249.4,79.8,588.7,788.2,"n150","long",8388,0.04,900.9,"Exp1"
"3875","Related","Unacc","monkeyUnacc.jpeg","monkeyUnacc.jpeg.carrot","A","spin","Verb","trip","carrot","monkey",35,"List4",44,"{SL} The monkey above the carrot is tripping","",3.082,0.36,28399,1,0,2.197,4882,0.815,841,299.4,538.7,349.2,279.4,828.1,269.4,"n150","long",13201,0.59,1140.4,"Exp1"
"3876","Unrelated","Unacc","cowboyUnacc.jpeg","cowboyUnacc.jpeg.sword","B","drill","Noun","fall","sword","cowboy",36,"List4",44,"{SL} The cowboy above the sword is falling","",1.114,0.84,46059,0.92,0.522,2.89,2826,0.885,980.7,149.7,419,528.8,768.3,528.8,239.4,"n150","short",10243,0.98,1130.4,"Exp1"
"3877","Unrelated","Unacc","clownUnacc.jpeg","clownUnacc.jpeg.violin","B","shake","Verb","grow","violin","clown",37,"List4",44,"{SL} The clown below the violin is growing","guitar",1.786,0.7,24803,0.82,0.858,1.946,2761,0.179,NA,NA,NA,NA,NA,NA,NA,"n150","long",8571,1,NA,"Exp1"
"3878","Unrelated","Unerg","pirateUnerg.jpeg","pirateUnerg.jpeg.gun","","walk","Verb","cough","gun","pirate",38,"List4",44,"{SL} The pirate below the gun is coughing","",0.987,0.7,2215,0.9,0.687,4.605,6292,0.69,1090.5,209.5,518.8,349.2,169.6,339.3,339.2,"n150","short",10904,0,1300,"Exp1"
"3879","Related","Unerg","octopusUnerg.jpeg","octopusUnerg.jpeg.lemon","","apple","Noun","swim","lemon","octopus",39,"List4",44,"{SL} The octopus below the lemon is swimming","",1.574,0.74,5116,0.96,0.31,2.773,900,0.48,761.2,119.8,558.7,249.4,99.8,608.6,708.4,"n150","long",8524,0.11,881,"Exp1"
"3880","Unrelated","Unerg","snailUnerg.jpeg","snailUnerg.jpeg.table","","wink","Verb","crawl","table","snail",40,"List4",44,"{SL} The snail below the table is crawling","",3.728,0.14,3131,0.98,0.141,5.464,10191,0,771.2,179.6,329.2,379.2,119.7,638.6,439,"n150","long",12010,0.74,950.8,"Exp1"
"3881","Related","Unerg","boyUnerg.jpeg","boyUnerg.jpeg.lighthouse","B","windmill","Noun","yawn","lighthouse","boy",41,"List4",44,"{SL} The boy below the lighthouse is yawning","",0.771,0.82,1333,0.94,0.409,1.386,42823,1.896,940.8,99.8,349.2,449,618.6,648.5,239.5,"n150","long",31692,0.18,1040.6,"Exp1"
"3882","Unrelated","Unacc","octopusUnacc.jpeg","octopusUnacc.jpeg.spoon","","fall","Verb","boil","spoon","octopus",42,"List4",44,"{SL} The octopus below the spoon is boiling","",2.319,0.5,3837,1,0.029,2.773,900,0.656,721.3,149.7,588.6,369.2,149.7,448.9,309.3,"n150","short",7344,0.96,871,"Exp1"
"3883","Related","Unerg","cowboyUnerg.jpeg","cowboyUnerg.jpeg.piano","A","smile","Verb","wink","piano","cowboy",43,"List4",44,"{SL} The cowboy above the piano is winking","",1.643,0.64,1494,1,0.029,3.332,2826,0.35,1110.4,149.7,638.5,548.8,119.7,548.8,798.2,"n150","long",19570,0.24,1260.1,"Exp1"
"3884","Related","Unacc","snailUnacc.jpeg","snailUnacc.jpeg.castle","","church","Noun","melt","castle","snail",44,"List4",44,"{SL} The snail below the castle is melting","",3.886,0.16,2781,1,0,3.332,10191,0,920.9,89.8,369.1,369.2,498.8,588.7,309.3,"n150","long",22746,0.58,1010.7,"Exp1"
"3885","Related","Unacc","pirateUnacc.jpeg","pirateUnacc.jpeg.guitar","","piano","Noun","sink","guitar","pirate",45,"List4",44,"{SL} The pirate below the guitar is sinking","p_ the guitar",1.594,0.72,8579,0.98,0.141,2.079,6292,0.592,NA,NA,NA,NA,NA,NA,NA,"n150","long",12032,0.92,NA,"Exp1"
"3886","Unrelated","Unerg","ballerinaUnerg.jpeg","ballerinaUnerg.jpeg.harp","B","church","Noun","run","harp","ballerina",46,"List4",44,"{SL} The ballerina above the harp is running","",1.034,0.84,223338,0.96,0.388,1.386,140,1.707,890.9,129.7,608.7,359.1,149.7,518.8,349.2,"n150","short",14170,0.04,1020.6,"Exp1"
"3887","Unrelated","Unerg","monkeyUnerg.jpeg","monkeyUnerg.jpeg.knife","B","castle","Noun","sleep","knife","monkey",47,"List4",44,"{SL} The monkey above the knife is sleeping","",0.606,0.9,25606,1,0.057,3.807,4882,0.357,771.2,89.8,498.9,359.1,209.6,518.8,558.7,"n150","long",8773,0,861,"Exp1"
"3888","Unrelated","Unacc","chefUnacc.jpeg","chefUnacc.jpeg.drawer","A","hammer","Noun","drown","drawer","chef",48,"List4",44,"{SL} The chef above the drawer is drowning","is_ ah_",1.912,0.68,1415,0.48,2.095,1.792,1418,0.774,NA,NA,NA,NA,NA,NA,NA,"n150","long",21173,1,NA,"Exp1"
"3889","Related","Unacc","octopusUnacc.jpeg","octopusUnacc.jpeg.spoon","","knife","Noun","boil","spoon","octopus",49,"List4",44,"{SL} The octopus below the spoon is boiling","",2.319,0.5,3837,1,0.029,2.773,900,0.656,721.3,119.7,548.8,399.1,399.1,478.9,299.3,"n150","short",7344,0.96,841,"Exp1"
"3890","Unrelated","Unacc","ballerinaUnacc.jpeg","ballerinaUnacc.jpeg.ax","A","float","Verb","shrink","ax","ballerina",50,"List4",44,"{SL} The ballerina above the ax is shrinking","",1.56,0.76,4085,0.86,0.668,2.303,140,1.937,731.3,119.7,638.6,399.1,119.7,429,409.1,"n150","short",7849,0.92,851,"Exp1"
"3891","Related","Unacc","boyUnacc.jpeg","boyUnacc.jpeg.desk","A","chair","Noun","float","desk","boy",51,"List4",44,"{SL} The boy below the desk is floating","",1.718,0.7,5704,1,0,4.522,42823,1.733,900.9,99.8,339.2,488.9,638.5,359.2,329.3,"n150","short",17761,0.92,1000.7,"Exp1"
"3892","Related","Unacc","cowboyUnacc.jpeg","cowboyUnacc.jpeg.sword","B","sink","Verb","fall","sword","cowboy",52,"List4",44,"{SL} The cowboy above the sword is falling","",1.114,0.84,46059,0.92,0.522,2.89,2826,0.885,1100.5,179.5,479,528.8,319.2,429.1,169.6,"n150","short",10243,0.98,1280,"Exp1"
"3893","Unrelated","Unacc","pirateUnacc.jpeg","pirateUnacc.jpeg.guitar","","gun","Noun","sink","guitar","pirate",53,"List4",44,"{SL} The pirate below the guitar is sinking","",1.594,0.72,8579,0.98,0.141,2.079,6292,0.592,1250.1,79.8,399.1,349.2,149.7,538.8,927.9,"n150","long",12032,0.92,1329.9,"Exp1"
"3894","Unrelated","Unerg","chefUnerg.jpeg","chefUnerg.jpeg.windmill","B","sleep","Verb","yell","windmill","chef",54,"List4",44,"{SL} The chef above the windmill is yelling","",0.961,0.78,3322,0.93,0.55,2.303,1418,1.194,1020.6,109.8,369.1,379.2,618.6,558.7,259.4,"n150","long",12430,0.06,1130.4,"Exp1"
"3895","Related","Unacc","clownUnacc.jpeg","clownUnacc.jpeg.violin","B","harp","Noun","grow","violin","clown",55,"List4",44,"{SL} The clown below the violin is growing","guitar",1.786,0.7,24803,0.82,0.858,1.946,2761,0.179,NA,NA,NA,NA,NA,NA,NA,"n150","long",8571,1,NA,"Exp1"
"3896","Related","Unacc","penguineUnacc.jpeg","penguineUnacc.jpeg.drill","","shake","Verb","bounce","drill","penguin",56,"List4",44,"{SL} The penguin below the drill is bouncing","",1.645,0.54,4243,0.63,1.704,2.197,2222,0.303,1499.5,449,598.7,349.2,219.5,419,199.6,"n150","short",16254,0.56,1948.5,"Exp1"
"3897","Related","Unacc","chefUnacc.jpeg","chefUnacc.jpeg.drawer","A","float","Verb","drown","drawer","chef",57,"List4",44,"{SL} The chef above the drawer is drowning","",1.912,0.68,1415,0.48,2.095,1.792,1418,0.774,910.9,119.7,468.9,439,229.5,888,239.5,"n150","long",21173,1,1030.6,"Exp1"
"3898","Related","Unerg","ballerinaUnerg.jpeg","ballerinaUnerg.jpeg.harp","B","swim","Verb","run","harp","ballerina",58,"List4",44,"{SL} The ballerina above the harp is running","",1.034,0.84,223338,0.96,0.388,1.386,140,1.707,910.9,89.8,1137.4,429,778.3,429,209.5,"n150","short",14170,0.04,1000.7,"Exp1"
"3899","Unrelated","Unerg","octopusUnerg.jpeg","octopusUnerg.jpeg.lemon","","cannon","Noun","swim","lemon","octopus",59,"List4",44,"{SL} The octopus below the lemon is swimming","",1.574,0.74,5116,0.96,0.31,2.773,900,0.48,1060.5,798.2,708.4,249.5,129.7,439,199.5,"n150","long",8524,0.11,1858.7,"Exp1"
"3900","Unrelated","Unacc","snailUnacc.jpeg","snailUnacc.jpeg.castle","","knife","Noun","melt","castle","snail",60,"List4",44,"{SL} The snail below the castle is melting","",3.886,0.16,2781,1,0,3.332,10191,0,1020.6,219.5,488.9,319.3,79.8,568.7,239.5,"n150","long",22746,0.58,1240.1,"Exp1"
"3901","Related","Unerg","rabitUnerg.jpeg","rabitUnerg.jpeg.chair","","wink","Verb","smile","chair","rabbit",61,"List4",44,"{SL} The rabbit above the chair is smiling","",2.748,0.46,12276,1,0,4.92,5751,1.061,881,219.5,558.7,389.1,219.5,488.9,289.3,"n150","short",11238,0.11,1100.5,"Exp1"
"3902","Related","Unerg","monkeyUnerg.jpeg","monkeyUnerg.jpeg.knife","B","yawn","Verb","sleep","knife","monkey",62,"List4",44,"{SL} The monkey above the knife is sleeping","",0.606,0.9,25606,1,0.057,3.807,4882,0.357,721.3,129.7,478.9,309.3,329.3,399.1,379.1,"n150","long",8773,0,851,"Exp1"
"3903","Unrelated","Unacc","rabbitUnacc.jpeg","rabbitUnacc.jpeg.church","","grow","Verb","shake","church","rabbit",63,"List4",44,"{SL} The rabbit above the church is shaking","",2.711,0.54,5292,0.96,0.282,5.215,5751,1.086,811.1,99.8,409.1,339.2,139.7,468.9,778.2,"n150","short",34595,0.8,910.9,"Exp1"
"3904","Related","Unerg","dogUnerg.jpeg","dogUnerg.jpeg.apple","A","lemon","Noun","bark","apple","dog",64,"List4",44,"{SL} The dog above the apple is barking","",0.987,0.7,2441,1,0.029,3.434,58314,0.629,761.2,119.8,259.4,319.2,209.6,419,259.4,"n150","long",8241,0,881,"Exp1"
"3905","Unrelated","Unerg","cowboyUnerg.jpeg","cowboyUnerg.jpeg.piano","A","crawl","Verb","wink","piano","cowboy",65,"List4",44,"{SL} The cowboy above the piano is winking","",1.643,0.64,1494,1,0.029,3.332,2826,0.35,960.8,159.6,478.9,369.2,159.6,528.8,409.1,"n150","long",19570,0.24,1120.4,"Exp1"
"3906","Unrelated","Unerg","penguineUnerg.jpeg","penguineUnerg.jpeg.tomato","","run","Verb","sneeze","tomato","penguin",66,"List4",44,"{SL} The penguin below the tomato is sneezing","",1.088,0.78,540,0.98,0.141,2.708,2222,0.689,741.3,109.7,469,259.4,69.8,488.9,219.5,"n150","long",8388,0.04,851,"Exp1"
"3907","Related","Unerg","pirateUnerg.jpeg","pirateUnerg.jpeg.gun","","cannon","Noun","cough","gun","pirate",67,"List4",44,"{SL} The pirate below the gun is coughing","",0.987,0.7,2215,0.9,0.687,4.605,6292,0.69,930.8,239.5,299.3,409.1,149.6,379.2,329.2,"n150","short",10904,0,1170.3,"Exp1"
"3908","Related","Unerg","snailUnerg.jpeg","snailUnerg.jpeg.table","","dresser","Noun","crawl","table","snail",68,"List4",44,"{SL} The snail below the table is crawling","",3.728,0.14,3131,0.98,0.141,5.464,10191,0,771.2,339.2,459,369.1,239.5,508.8,848.1,"n150","long",12010,0.74,1110.4,"Exp1"
"3909","Unrelated","Unerg","clownUnerg.jpeg","clownUnerg.jpeg.canon","A","lemon","Noun","walk","canon","clown",69,"List4",44,"{SL} The clown below the canon is walking","the_ the",2.218,0.58,33093,1,0.111,1.946,2761,1.896,NA,NA,NA,NA,NA,NA,NA,"n150","long",17678,0.24,NA,"Exp1"
"3910","Unrelated","Unacc","monkeyUnacc.jpeg","monkeyUnacc.jpeg.carrot","A","melt","Verb","trip","carrot","monkey",70,"List4",44,"{SL} The monkey above the carrot is tripping","",3.082,0.36,28399,1,0,2.197,4882,0.815,791.2,79.8,379.1,289.4,99.7,618.6,389.1,"n150","long",13201,0.59,871,"Exp1"
"3911","Unrelated","Unerg","boyUnerg.jpeg","boyUnerg.jpeg.lighthouse","B","apple","Noun","yawn","lighthouse","boy",71,"List4",44,"{SL} The boy below the lighthouse is yawning","ah_ ",0.771,0.82,1333,0.94,0.409,1.386,42823,1.896,NA,NA,NA,NA,NA,NA,NA,"n150","long",31692,0.18,NA,"Exp1"
