"","Relatedness","VerbType","Pic","Picture","PictureVersion","Distractor","DistractorType","Verb","Anoun","Snoun","Order","expName","participant","Transcription","Utterance","Vcodability","Vagr","Vfreq","Aagreement","Acodability","Afreq","Sfreq","Scodability","Onset","The","dog","above","the","apple","is","soa","syllable","visual_complexity","unaccusativity","OnsetThe","experiment"
"4280","Related","Unacc","penguineUnacc.jpeg","penguineUnacc.jpeg.tomato","","shake","Verb","bounce","tomato","penguin",56,"List8",48,"{SL} The penguin below the tomato is bouncing","",1.645,0.54,4243,0.98,0.141,2.079,2222,0.303,2706.8,109.8,488.8,229.5,119.7,469,139.7,"n150","long",8388,0.56,2816.6,"Exp1"
"4281","Related","Unacc","chefUnacc.jpeg","chefUnacc.jpeg.windmill","B","float","Verb","drown","windmill","chef",57,"List8",48,"{SL} The chef above the windmill is drowning","",1.912,0.68,1415,0.93,0.55,2.303,1418,0.774,2696.8,99.8,319.3,339.2,119.7,429.1,528.8,"n150","long",12430,1,2796.6,"Exp1"
"4282","Related","Unerg","ballerinaUnerg.jpeg","ballerinaUnerg.jpeg.ax","A","swim","Verb","run","ax","ballerina",58,"List8",48,"{SL} The ballerina above the ax is running","",1.034,0.84,223338,0.86,0.668,2.303,140,1.707,2128.1,79.8,598.7,269.4,109.7,349.2,129.7,"n150","short",7849,0.04,2207.9,"Exp1"
"4283","Unrelated","Unerg","octopusUnerg.jpeg","octopusUnerg.jpeg.spoon","","ax","Noun","swim","spoon","octopus",59,"List8",48,"{SL} The octopus below the spoon is swimming","",1.574,0.74,5116,1,0.029,2.773,900,0.48,2357.6,59.9,508.8,249.4,129.7,369.2,139.7,"n150","short",7344,0.11,2417.5,"Exp1"
"4284","Unrelated","Unacc","snailUnacc.jpeg","snailUnacc.jpeg.table","","tomato","Noun","melt","table","snail",60,"List8",48,"{SL} The snail below the table is melting","",3.886,0.16,2781,0.98,0.141,5.464,10191,0,2347.6,79.8,389.2,249.4,129.7,439,139.7,"n150","long",12010,0.58,2427.4,"Exp1"
"4285","Related","Unerg","rabitUnerg.jpeg","rabitUnerg.jpeg.church","","wink","Verb","smile","church","rabbit",61,"List8",48,"{SL} The rabbit above the church is smiling","",2.748,0.46,12276,0.96,0.282,5.215,5751,1.061,2557.1,79.9,349.2,279.3,119.8,349.2,79.8,"n150","short",34595,0.11,2637,"Exp1"
"4286","Related","Unerg","monkeyUnerg.jpeg","monkeyUnerg.jpeg.carrot","A","yawn","Verb","sleep","carrot","monkey",62,"List8",48,"{SL} The monkey above the carrot is sleeping","",0.606,0.9,25606,1,0,2.197,4882,0.357,2826.5,69.9,319.2,269.4,69.9,349.2,79.8,"n150","long",13201,0,2896.4,"Exp1"
"4287","Unrelated","Unacc","rabbitUnacc.jpeg","rabbitUnacc.jpeg.chair","","grow","Verb","shake","chair","rabbit",63,"List8",48,"{SL} The rabbit above the chair is shaking","",2.711,0.54,5292,1,0,4.92,5751,1.086,1958.5,89.8,369.2,319.2,89.8,339.3,79.8,"n150","short",11238,0.8,2048.3,"Exp1"
"4288","Related","Unerg","dogUnerg.jpeg","dogUnerg.jpeg.hammer","B","drill","Noun","bark","hammer","dog",64,"List8",48,"{SL} The dog above the hammer is barking","",0.987,0.7,2441,1,0.057,2.485,58314,0.629,1629.3,89.7,319.3,289.4,79.8,458.9,139.7,"n150","long",9533,0,1719,"Exp1"
"4289","Unrelated","Unerg","cowboyUnerg.jpeg","cowboyUnerg.jpeg.sword","B","crawl","Verb","wink","sword","cowboy",65,"List8",48,"{SL} The cowboy above the sword is winking","",1.643,0.64,1494,0.92,0.522,2.89,2826,0.35,1749,99.8,429,778.2,89.8,379.1,169.7,"n150","short",10243,0.24,1848.8,"Exp1"
