"Subject" "AbsTrial" "List" "CardSet" "VerbCat" "Confusable." "TargBinary" "PTnumeric" "VerbClass" "Item" "PrimeType" "Homogeneity"
"122" 6 250 6 3 "give" 1 1 1 "Dative" 6 "preferred" "Homogenous"
"123" 6 252 6 3 "sprinkle" 0 1 1 "Locative" 45 "preferred" "Heterogenous"
"124" 6 253 6 3 "give" 0 0 1 "Dative" 1 "preferred" "Heterogenous"
"125" 6 256 6 3 "read" 0 1 1 "Dative" 9 "preferred" "Heterogenous"
"126" 6 259 6 3 "show" 0 1 0 "Dative" 13 "dispreferred" "Heterogenous"
"127" 6 262 6 3 "throw" 0 1 0 "Dative" 20 "dispreferred" "Heterogenous"
"128" 6 266 6 3 "rub" 0 1 0 "Locative" 34 "dispreferred" "Heterogenous"
"129" 6 267 6 3 "show" 1 0 1 "Dative" 16 "preferred" "Homogenous"
"130" 6 270 6 3 "show" 1 1 1 "Dative" 15 "preferred" "Homogenous"
"131" 6 275 6 3 "spray" 0 0 1 "Locative" 40 "preferred" "Heterogenous"
"132" 6 276 6 3 "show" 1 0 0 "Dative" 18 "dispreferred" "Homogenous"
"133" 6 277 6 3 "spray" 1 0 1 "Locative" 41 "preferred" "Homogenous"
"134" 6 279 6 3 "read" 0 1 1 "Dative" 10 "preferred" "Heterogenous"
"135" 6 280 6 3 "spray" 1 1 1 "Locative" 37 "preferred" "Homogenous"
"136" 6 282 6 3 "give" 0 0 1 "Dative" 2 "preferred" "Heterogenous"
"137" 6 283 6 3 "spray" 1 0 0 "Locative" 39 "dispreferred" "Homogenous"
"138" 6 286 6 3 "spray" 1 0 0 "Locative" 38 "dispreferred" "Homogenous"
"139" 6 288 6 3 "show" 0 0 0 "Dative" 14 "dispreferred" "Heterogenous"
"140" 7 289 7 4 "read" 1 1 0 "Dative" 9 "dispreferred" "Homogenous"
"141" 7 292 7 4 "read" 1 1 0 "Dative" 10 "dispreferred" "Homogenous"
"142" 7 295 7 4 "read" 1 1 1 "Dative" 11 "preferred" "Homogenous"
"143" 7 297 7 4 "sprinkle" 0 1 0 "Locative" 44 "dispreferred" "Heterogenous"
"144" 7 300 7 4 "spray" 0 1 1 "Locative" 37 "preferred" "Heterogenous"
"145" 7 301 7 4 "read" 0 1 1 "Dative" 8 "preferred" "Heterogenous"
"146" 7 302 7 4 "rub" 1 1 0 "Locative" 33 "dispreferred" "Homogenous"
"147" 7 304 7 4 "give" 0 0 1 "Dative" 3 "preferred" "Heterogenous"
"148" 7 307 7 4 "throw" 0 0 0 "Dative" 19 "dispreferred" "Heterogenous"
"149" 7 310 7 4 "show" 0 0 0 "Dative" 16 "dispreferred" "Heterogenous"
