"","subject","trial","isi","lexicality","prime","target","accuracy","RT","rel"
"6313",26,298,1050,1,"POCKETBOOK","purse",1,347,"rel"
"6342",18,643,50,1,"SHELL","clam",1,348,"rel"
"6343",26,331,1050,1,"GALLOP","run",1,348,"rel"
"6344",47,45,50,1,"SECOND","minute",1,348,"rel"
"6364",2,413,1050,1,"LEDGE","cliff",1,348,"rel"
"6381",47,13,50,1,"TUNA","shot",1,349,"un"
"6399",18,322,1050,1,"CHROMOSOMES","sex",1,349,"rel"
"6409",9,608,1050,1,"BRUNETTE","blonde",1,349,"rel"
"6410",16,320,1050,1,"VALVE","car",1,349,"rel"
"6436",18,792,50,1,"PARTICIPATE","guard",1,350,"un"
"6443",18,233,1050,1,"DISHONEST","honest",1,350,"rel"
"6444",18,245,1050,1,"ACHIEVEMENT","success",1,350,"rel"
"6461",16,663,50,1,"TWICE","once",1,350,"rel"
"6493",18,167,1050,1,"PERFORM","lost",1,351,"un"
"6494",18,573,50,1,"SLIDE","drain",1,351,"un"
"6495",26,284,1050,1,"ABLE","beam",1,351,"un"
"6503",7,406,50,1,"THIRD","three",1,351,"rel"
"6504",16,591,50,1,"PAY","check",1,351,"rel"
"6505",26,85,1050,1,"JELLO","mold",1,351,"rel"
"6522",2,149,1050,1,"THUNDER","lightning",1,351,"rel"
"6523",5,822,1050,1,"DAUGHTER","son",1,351,"rel"
"6526",26,24,1050,1,"GROCERY","store",1,351,"rel"
"6527",26,639,50,1,"IRON","steel",1,351,"rel"
"6528",42,180,1050,1,"RETREAT","back",1,351,"rel"
"6547",15,120,50,1,"FLEA","bow",0,352,"un"
"6548",18,88,1050,1,"WASP","watch",1,352,"un"
"6574",26,465,50,1,"GRASS","lawn",1,352,"rel"
"6594",18,223,1050,1,"CONDITION","drunk",1,353,"un"
"6609",47,165,50,1,"GARBAGE","ready",1,353,"un"
"6620",18,267,1050,1,"UMPIRE","referee",1,353,"rel"
"6634",16,310,1050,1,"SCULPTURE","art",1,353,"rel"
"6635",42,460,50,1,"MEN","women",1,353,"rel"
"6657",47,29,50,1,"PLATFORM","liberty",1,354,"un"
"6674",18,205,1050,1,"COPPER","land",1,354,"un"
"6676",47,161,50,1,"BEAVER","rain",1,354,"un"
"6717",5,378,50,1,"NIECE","nephew",1,354,"rel"
"6732",26,190,1050,1,"SET","hot",1,355,"un"
"6748",47,30,50,1,"ENTRANCE","bush",1,355,"un"
"6765",3,158,50,1,"BANKER","bank",1,355,"rel"
"6766",5,459,1050,1,"BAND","play",1,355,"rel"
"6767",16,156,1050,1,"CHIMPANZEE","ape",1,355,"rel"
"6768",18,118,1050,1,"REVENGE","kill",1,355,"rel"
"6769",26,286,1050,1,"BUTTON","push",1,355,"rel"
"6784",15,207,50,1,"HUSBAND","wife",1,355,"rel"
"6785",18,443,50,1,"SNEEZE","cough",1,355,"rel"
"6816",5,293,50,1,"CONGRESS","cover",1,356,"un"
