,Noun,VerbType,Pic,Distractor,Verb,Condition,Subj,Order,Block,Ncategory,expName,participant,Transcription,Utterance,Onset,The,dog,above,the,apple,is,soa,Relatedness,DistractorType,OnsetThe,DAT,AI,Duration,agreement,codability,freq,syllable,visual_complexity,Vfreq,Vagr,Vcodability,SFreq,SCodability,unaccusativity
3857,table,Unerg,snailUnerg.jpeg,knife,crawl,Nunrel,snail,16,3,funiture,List7,270,{SL} The snail below the castle is crawling,,561.7,119.7,468.9,259.5,69.8,708.4,369.1,p300,Unrelated,Noun,681.4,798.2,1077.5,1875.7,1,0,3.332,long,22746,3131,0.14,3.728,10191,0,0.74
4214,chair,Unerg,rabitUnerg.jpeg,wink,smile,Vrel,rabit,85,2,funiture,List7,273,{SL} The rabbit above the church is smiling,,561.7,119.7,508.8,229.5,89.8,528.8,169.6,p300,Related,Verb,681.4,828.1,698.4,1526.5,0.96,0.282,5.215,short,34595,12276,0.46,2.955,5751,1.061,0.11
2465,hammer,Unacc,dogUnacc.jpeg,trip,spin,Vrel,dog,65,3,tool,List5,253,{SL} The dog above the apple is spinning,,581.6,99.8,339.2,279.4,129.7,399.1,59.9,p300,Related,Verb,681.4,748.3,459,1207.3,1,0.029,3.434,long,8241,10683,0.12,3.022,58314,0.995,0.9
3018,tomato,Unerg,penguineUnerg.jpeg,run,sneeze,Vunrel,penguine,42,2,fruit,List5,261,{SL} The penguin below the drill is sneezing,,591.6,89.8,399.1,289.3,139.7,638.6,389.1,p300,Unrelated,Verb,681.4,828.1,1027.7,1855.8,0.63,1.704,2.197,short,16254,540,0.78,1.088,2222,0.689,0.04
3046,carrot,Unacc,monkeyUnacc.jpeg,spoon,trip,Nrel,monkey,70,3,fruit,List5,261,{SL} The monkey above the knife is tripping,,591.6,89.8,369.2,379.1,59.9,907.9,1137.4,p300,Related,Noun,681.4,808.2,2045.3,2853.5,1,0.057,3.807,long,8773,28399,0.36,3.082,4882,0.815,0.59
4141,windmill,Unerg,chefUnerg.jpeg,table,yell,Nrel,chef,12,3,building,List7,273,{SL} The chef above the drawer is yelling,,591.6,89.8,449,668.5,89.8,668.4,409.1,p300,Related,Noun,681.4,1207.3,1077.5,2284.8,0.48,2.095,1.792,long,21173,3322,0.78,0.961,1418,0.774,0.06
4209,drill,Unacc,penguineUnacc.jpeg,shake,bounce,Vrel,penguine,80,2,tool,List7,273,{SL} The penguin below the tomato is bouncing,,591.6,89.8,548.8,269.3,89.8,588.7,249.4,p300,Related,Verb,681.4,907.9,838.1,1746,0.98,0.141,2.708,long,8388,4243,0.54,1.736,2222,0.303,0.56
5065,hammer,Unacc,dogUnacc.jpeg,lighthouse,spin,Nunrel,dog,72,2,tool,List8,282,{SL} The dog above the apple is spinning,,591.6,89.8,468.9,199.6,259.4,518.8,89.8,p300,Unrelated,Noun,681.4,927.9,608.6,1536.5,1,0.029,3.434,long,8241,10683,0.12,3.022,58314,0.995,0.9
4176,knife,Unerg,monkeyUnerg.jpeg,tomato,sleep,Nrel,monkey,47,4,tool,List7,273,{SL} The monkey above the carrot is sleeping,,601.6,79.8,548.8,279.3,69.9,588.6,179.6,p300,Related,Noun,681.4,898,768.2,1666.2,1,0,2.197,long,13201,25606,0.9,0.606,4882,0.357,0
4219,tomato,Unerg,penguineUnerg.jpeg,run,sneeze,Vunrel,penguine,90,2,fruit,List7,273,{SL} The penguin below the drill is sneezing,,601.6,79.8,528.8,229.5,129.7,478.9,189.6,p300,Unrelated,Verb,681.4,888,668.5,1556.5,0.63,1.704,2.197,short,16254,540,0.78,1.088,2222,0.689,0.04
5025,chair,Unerg,rabitUnerg.jpeg,harp,smile,Nunrel,rabit,32,1,funiture,List8,282,{SL} The rabbit above the church is smiling,,601.6,79.8,289.3,339.3,99.8,199.5,289.3,p300,Unrelated,Noun,681.4,728.4,488.8,1217.2,0.96,0.282,5.215,short,34595,12276,0.46,2.955,5751,1.061,0.11
