,Noun,VerbType,Pic,Distractor,Verb,Condition,Subj,Order,Block,Ncategory,expName,participant,Transcription,Utterance,Onset,The,dog,above,the,apple,is,X,soa,Relatedness,DistractorType,OnsetThe,DAT,AI,Duration,agreement,codability,freq,syllable,visual_complexity,Vfreq,Vagr,Vcodability,SFreq,SCodability,unaccusativity
24,dresser,Unacc,chefUnacc.jpeg,hammer,drown,Nunrel,chef,24,1,funiture,List1,101,{SL} The chef above the dresser is drowning,,1010.7,99.7,239.5,279.4,798.1,638.6,469,NA,0,Unrelated,Noun,1110.4,1317,1107.6,2424.6,0.48,2.095,1.792,long,21173,1415,0.68,1.912,1418,1.194,1
25,spoon,Unacc,octopusUnacc.jpeg,knife,boil,Nrel,octopus,25,2,tool,List1,101,{SL} The octopus below the spoon is boiling,,1000.7,149.6,399.1,249.5,69.8,738.4,129.7,NA,0,Related,Noun,1150.3,718.4,868.1,1586.5,1,0.029,2.773,short,7344,3837,0.5,2.319,900,0.656,0.96
26,ax,Unacc,ballerinaUnacc.jpeg,float,shrink,Vunrel,ballerina,26,2,weapon,List1,101,{SL} The ballerina above the ax is shrinking,,1110.4,59.9,379.1,439,229.5,419.1,139.6,NA,0,Unrelated,Verb,1170.3,1047.6,558.7,1606.3,0.86,0.668,2.303,short,7849,4085,0.76,1.56,140,1.937,0.92
27,desk,Unacc,boyUnacc.jpeg,chair,float,Nrel,boy,27,2,funiture,List1,101,{SL} The boy below the desk is floating,,1828.8,79.8,259.4,289.4,1995.5,339.2,239.5,NA,0,Related,Noun,1908.6,2544.3,578.7,3123,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
28,sword,Unacc,cowboyUnacc.jpeg,sink,fall,Vrel,cowboy,28,2,weapon,List1,101,{SL} The cowboy above the sword is falling,,1160.3,59.9,219.5,359.2,59.8,349.2,139.7,NA,0,Related,Verb,1220.2,638.5,488.9,1127.4,0.92,0.522,2.89,short,10243,46059,0.84,1.114,2826,0.885,0.98
29,guitar,Unacc,pirateUnacc.jpeg,gun,sink,Nunrel,pirate,29,2,instrument,List1,101,{SL} The pirate below the guitar is sinking,,1419.7,69.9,329.2,249.5,69.8,379.1,69.9,NA,0,Unrelated,Noun,1489.6,648.5,449,1097.5,0.98,0.141,2.079,long,12032,8579,0.72,1.649,6292,0.592,0.92
30,windmill,Unerg,chefUnerg.jpeg,sleep,yell,Vunrel,chef,30,2,building,List1,101,{SL} The chef above the windmill is yelling,,1150.3,89.8,229.5,239.5,59.8,429.1,79.8,NA,0,Unrelated,Verb,1240.1,528.8,508.9,1037.7,0.93,0.55,2.303,long,12430,3322,0.78,0.961,1418,1.194,0.06
31,violin,Unacc,clownUnacc.jpeg,harp,grow,Nrel,clown,31,2,instrument,List1,101,{SL} The clown below the violin is growing,,1220.2,79.8,339.2,927.9,179.6,518.8,209.6,NA,0,Related,Noun,1300,1446.7,728.4,2175.1,0.82,0.858,1.946,long,8571,24803,0.7,1.918,2761,0.179,1
32,drill,Unacc,penguineUnacc.jpeg,shake,bounce,Vrel,penguine,32,2,tool,List1,101,{SL} The penguin below the drill is bouncing,,1040.6,79.8,349.2,199.6,89.8,339.2,99.8,NA,0,Related,Verb,1120.4,638.6,439,1077.6,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
33,dresser,Unacc,chefUnacc.jpeg,float,drown,Vrel,chef,33,2,funiture,List1,101,{SL} The chef above the dresser is drowning,,970.7,99.8,269.4,239.5,69.8,449,429.1,NA,0,Related,Verb,1070.5,578.7,878.1,1456.8,0.48,2.095,1.792,long,21173,1415,0.68,1.912,1418,1.194,1
34,harp,Unerg,ballerinaUnerg.jpeg,swim,run,Vrel,ballerina,34,2,instrument,List1,101,{SL} The ballerina above the harp is running,,791.2,139.6,379.2,219.5,59.8,269.4,109.8,NA,0,Related,Verb,930.8,658.5,379.2,1037.7,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
