Subject	Trial	TargBinary	ExpCond	PrimeCategory	PrimeType
59	22.gif	0	Different	Transitive	Prime_A
59	28.gif	1	Same	Transitive	Prime_A
59	52.gif	1	Same	Dative	Prime_A
59	25.gif	0	Same	Transitive	Prime_B
59	45.gif	1	Same	Dative	Prime_A
59	30.gif	0	Same	Transitive	Prime_A
59	114.gif	1	Same	Locative	Prime_B
59	T6.gif	1	Same	Dative	Prime_B
59	37.gif	1	Same	Transitive	Prime_B
59	51.gif	0	Same	Dative	Prime_B
59	84.gif	0	Same	Dative	Prime_A
59	32.gif	1	Same	Transitive	Prime_B
59	40.gif	0	Same	Transitive	Prime_A
59	74.gif	1	Same	Locative	Prime_A
59	68.gif	0	Same	Dative	Prime_B
59	82.gif	1	Same	Dative	Prime_A
59	57.gif	1	Different	Transitive	Prime_A
59	81.gif	0	Different	Locative	Prime_A
59	43.gif	0	Different	Dative	Prime_B
59	108.gif	0	Different	Locative	Prime_B
59	1.gif	0	Different	Transitive	Prime_B
59	44.gif	0	Different	Dative	Prime_A
59	109.gif	0	Different	Locative	Prime_B
59	T4.gif	1	Different	Dative	Prime_B
60	26.gif	0	Different	Dative	Prime_B
60	21.gif	0	Different	Locative	Prime_B
60	22.gif	1	Different	Transitive	Prime_A
60	90.gif	0	Different	Dative	Prime_A
60	19.gif	1	Different	Transitive	Prime_A
60	33.gif	0	Different	Dative	Prime_B
60	6.gif	1	Different	Transitive	Prime_B
60	T1.gif	1	Different	Dative	Prime_A
60	29.gif	1	Different	Transitive	Prime_B
60	51.gif	0	Same	Dative	Prime_B
60	15.gif	1	Same	Locative	Prime_A
60	37.gif	1	Same	Transitive	Prime_B
60	T6.gif	0	Same	Dative	Prime_B
60	30.gif	1	Same	Transitive	Prime_A
60	45.gif	0	Same	Dative	Prime_A
60	25.gif	1	Same	Transitive	Prime_B
60	52.gif	0	Same	Dative	Prime_A
60	13.gif	1	Same	Locative	Prime_A
60	28.gif	1	Same	Transitive	Prime_A
60	82.gif	1	Same	Dative	Prime_A
60	39.gif	0	Same	Transitive	Prime_A
60	74.gif	1	Same	Locative	Prime_A
60	40.gif	0	Same	Transitive	Prime_A
60	34.gif	1	Same	Dative	Prime_B
60	32.gif	1	Same	Transitive	Prime_B
60	84.gif	1	Same	Dative	Prime_A
60	70.gif	1	Same	Locative	Prime_B
60	T4.gif	1	Different	Dative	Prime_B
60	44.gif	0	Different	Dative	Prime_A
60	112.gif	1	Different	Locative	Prime_A
60	1.gif	1	Different	Transitive	Prime_B
60	T11.gif	1	Different	Dative	Prime_A
60	108.gif	1	Different	Locative	Prime_B
60	93.gif	0	Different	Transitive	Prime_A
60	43.gif	0	Different	Dative	Prime_B
60	81.gif	1	Different	Locative	Prime_A
60	57.gif	0	Different	Transitive	Prime_A
61	29.gif	1	Same	Transitive	Prime_A
61	T1.gif	1	Same	Dative	Prime_B
61	6.gif	1	Same	Transitive	Prime_A
61	33.gif	1	Same	Dative	Prime_A
61	19.gif	1	Same	Transitive	Prime_B
61	90.gif	1	Same	Dative	Prime_B
61	22.gif	0	Same	Transitive	Prime_B
61	21.gif	1	Same	Locative	Prime_A
61	26.gif	1	Same	Dative	Prime_A
61	28.gif	1	Different	Transitive	Prime_B
61	13.gif	1	Different	Locative	Prime_B
61	52.gif	1	Different	Dative	Prime_B
61	25.gif	1	Different	Transitive	Prime_A
61	66.gif	1	Different	Locative	Prime_A
61	45.gif	1	Different	Dative	Prime_B
61	30.gif	1	Different	Transitive	Prime_B
61	114.gif	1	Different	Locative	Prime_A
61	T6.gif	1	Different	Dative	Prime_A
61	37.gif	1	Different	Transitive	Prime_A
61	51.gif	1	Different	Dative	Prime_A
61	36.gif	1	Different	Transitive	Prime_A
61	70.gif	0	Different	Locative	Prime_A
61	84.gif	1	Different	Dative	Prime_B
61	32.gif	1	Different	Transitive	Prime_A
61	104.gif	0	Different	Locative	Prime_B
61	40.gif	0	Different	Transitive	Prime_B
61	74.gif	1	Different	Locative	Prime_B
61	68.gif	1	Different	Dative	Prime_A
61	78.gif	1	Different	Locative	Prime_A
61	82.gif	1	Different	Dative	Prime_B
61	57.gif	1	Same	Transitive	Prime_B
61	81.gif	1	Same	Locative	Prime_B
61	43.gif	1	Same	Dative	Prime_A
61	108.gif	1	Same	Locative	Prime_A
61	T11.gif	1	Same	Dative	Prime_B
61	1.gif	0	Same	Transitive	Prime_A
61	44.gif	1	Same	Dative	Prime_B
61	38.gif	1	Same	Transitive	Prime_A
61	109.gif	1	Same	Locative	Prime_A
61	T4.gif	1	Same	Dative	Prime_A
62	26.gif	0	Same	Dative	Prime_B
62	21.gif	0	Same	Locative	Prime_B
62	22.gif	1	Same	Transitive	Prime_A
62	90.gif	0	Same	Dative	Prime_A
62	11.gif	1	Same	Locative	Prime_A
62	19.gif	1	Same	Transitive	Prime_A
62	33.gif	0	Same	Dative	Prime_B
62	76.gif	0	Same	Locative	Prime_A
62	6.gif	1	Same	Transitive	Prime_B
62	T1.gif	1	Same	Dative	Prime_A
62	8.gif	1	Same	Locative	Prime_B
62	29.gif	1	Same	Transitive	Prime_B
62	51.gif	0	Different	Dative	Prime_B
62	37.gif	1	Different	Transitive	Prime_B
62	T6.gif	0	Different	Dative	Prime_B
62	114.gif	1	Different	Locative	Prime_B
62	30.gif	1	Different	Transitive	Prime_A
