Subject	Item	CardTyp	PrimeType	TargBinary	VerbClass
13	21	Diff	Prime_B	0	Dative
13	22	Same	Prime_A	1	Transitive
13	25	Diff	Prime_B	1	Transitive
13	26	Same	Prime_B	1	Locative
13	27	Same	Prime_B	0	Dative
13	28	Diff	Prime_A	1	Transitive
13	30	Same	Prime_A	1	Dative
13	31	Same	Prime_B	1	Transitive
13	33	Diff	Prime_B	0	Dative
13	34	Same	Prime_A	0	Transitive
13	36	Diff	Prime_A	1	Dative
13	37	Diff	Prime_B	1	Transitive
13	40	Diff	Prime_A	1	Transitive
13	41	Diff	Prime_A	1	Locative
13	42	Same	Prime_A	0	Dative
13	43	Same	Prime_B	1	Transitive
13	45	Diff	Prime_B	1	Dative
13	46	Same	Prime_A	1	Transitive
14	1	Same	Prime_B	1	Transitive
14	3	Diff	Prime_B	1	Dative
14	4	Same	Prime_A	1	Transitive
14	6	Diff	Prime_A	1	Dative
14	7	Diff	Prime_B	1	Transitive
14	10	Diff	Prime_A	1	Transitive
14	12	Same	Prime_A	1	Dative
14	13	Same	Prime_B	1	Transitive
14	15	Diff	Prime_B	1	Dative
14	18	Diff	Prime_A	1	Dative
14	21	Same	Prime_B	1	Dative
14	22	Diff	Prime_A	1	Transitive
14	25	Same	Prime_B	0	Transitive
14	26	Diff	Prime_B	1	Locative
14	27	Diff	Prime_B	1	Dative
14	28	Same	Prime_A	1	Transitive
14	29	Same	Prime_A	1	Locative
14	30	Diff	Prime_A	1	Dative
14	31	Diff	Prime_B	0	Transitive
14	33	Same	Prime_B	1	Dative
14	34	Diff	Prime_A	1	Transitive
14	35	Diff	Prime_A	1	Locative
14	36	Same	Prime_A	1	Dative
14	37	Same	Prime_B	0	Transitive
14	40	Same	Prime_A	0	Transitive
14	41	Same	Prime_A	1	Locative
14	42	Diff	Prime_A	0	Dative
14	43	Diff	Prime_B	1	Transitive
14	45	Same	Prime_B	1	Dative
14	46	Diff	Prime_A	1	Transitive
15	1	Same	Prime_B	1	Transitive
15	2	Diff	Prime_B	1	Locative
15	3	Diff	Prime_B	1	Dative
15	4	Same	Prime_A	1	Transitive
15	6	Diff	Prime_A	1	Dative
15	7	Diff	Prime_B	1	Transitive
15	8	Same	Prime_B	1	Locative
15	9	Same	Prime_B	1	Dative
15	10	Diff	Prime_A	1	Transitive
15	12	Same	Prime_A	1	Dative
15	13	Same	Prime_B	1	Transitive
15	14	Diff	Prime_B	1	Locative
15	15	Diff	Prime_B	1	Dative
15	16	Same	Prime_A	0	Transitive
15	17	Same	Prime_A	1	Locative
15	18	Diff	Prime_A	1	Dative
15	19	Diff	Prime_B	0	Transitive
15	20	Same	Prime_B	0	Locative
15	21	Same	Prime_B	1	Dative
15	22	Diff	Prime_A	1	Transitive
15	23	Diff	Prime_A	1	Locative
15	25	Same	Prime_B	0	Transitive
15	26	Diff	Prime_B	1	Locative
15	27	Diff	Prime_B	0	Dative
15	28	Same	Prime_A	0	Transitive
15	29	Same	Prime_A	1	Locative
15	30	Diff	Prime_A	1	Dative
15	32	Same	Prime_B	1	Locative
15	33	Same	Prime_B	0	Dative
15	34	Diff	Prime_A	0	Transitive
15	36	Same	Prime_A	1	Dative
15	37	Same	Prime_B	0	Transitive
15	38	Diff	Prime_B	1	Locative
15	39	Diff	Prime_B	1	Dative
15	40	Same	Prime_A	0	Transitive
15	42	Diff	Prime_A	0	Dative
15	43	Diff	Prime_B	1	Transitive
15	44	Same	Prime_B	0	Locative
15	45	Same	Prime_B	1	Dative
15	46	Diff	Prime_A	1	Transitive
15	48	Same	Prime_A	1	Dative
16	1	Diff	Prime_B	1	Transitive
16	4	Diff	Prime_A	1	Transitive
16	5	Diff	Prime_A	0	Locative
16	6	Same	Prime_A	0	Dative
16	7	Same	Prime_B	1	Transitive
16	9	Diff	Prime_B	0	Dative
16	10	Same	Prime_A	1	Transitive
16	12	Diff	Prime_A	0	Dative
16	13	Diff	Prime_B	0	Transitive
16	14	Same	Prime_B	0	Locative
16	16	Diff	Prime_A	0	Transitive
16	18	Same	Prime_A	1	Dative
16	20	Diff	Prime_B	1	Locative
16	22	Same	Prime_A	1	Transitive
16	25	Diff	Prime_B	0	Transitive
16	26	Same	Prime_B	1	Locative
16	30	Same	Prime_A	1	Dative
16	31	Same	Prime_B	0	Transitive
16	32	Diff	Prime_B	1	Locative
16	34	Same	Prime_A	1	Transitive
16	35	Same	Prime_A	1	Locative
16	37	Diff	Prime_B	0	Transitive
16	39	Same	Prime_B	1	Dative
16	40	Diff	Prime_A	0	Transitive
16	41	Diff	Prime_A	1	Locative
16	42	Same	Prime_A	0	Dative
16	43	Same	Prime_B	0	Transitive
16	45	Diff	Prime_B	0	Dative
16	46	Same	Prime_A	1	Transitive
16	48	Diff	Prime_A	1	Dative
17	3	Same	Prime_A	1	Dative
17	4	Diff	Prime_B	1	Transitive
17	5	Diff	Prime_B	0	Locative
17	6	Same	Prime_B	0	Dative
17	7	Same	Prime_A	1	Transitive
17	8	Diff	Prime_A	1	Locative
17	9	Diff	Prime_A	0	Dative
